Name,Title,Id,Listing URL,Price,Qualifier,City,Beds,Baths,Bedrooms,Average Rating,Number of Reviews,Cleaning Fee,Airbnb Service Fee,Total Charged for Stay,Early Bird Discount,Can Instant Book,Cleanliness Rating,Original Price,Discounted Price,Accessibility Label,Main Message,Listing Type,Room Type Category,Latitude,Longitude,Locale,More Details,Date Scraped,Total Nights (Search Input),Check-in Date (Search Input),Check-out Date (Search Input),# of Adults (Search Input),Search Query
"Elegant apartment with patio at Piazza Navona","Apartment in Parione","978873748577815605","https://airbnb.com/rooms/978873748577815605","$11,877","per month","Roma","2","2","2",4.71,7,"","","","","No","4.4","$14,846","$11,877","$11,877 per month, originally $14,846","","REGULAR","entire_home",41.89994,12.47015,"en","Superhost","Wed, 11/15/23","31","","","3","Rome, Italy"
"Boutique Domus Ripetta  Close SpanishTreviPantheon","Apartment in Prati","827996926286851122","https://airbnb.com/rooms/827996926286851122","$9,888","per month","Roma","3","2","2",4.79,39,"","","","","No","4.8","","","$9,888 per month","3 beds","REGULAR","entire_home",41.903180718501474,12.474851482273273,"en","Superhost","Wed, 11/15/23","31","","","3","Rome, Italy"
"Brand New Attic in Trastevere!","Apartment in Trastevere","788246879857710724","https://airbnb.com/rooms/788246879857710724","$10,364","per month","Roma","4","2","2",4.81,37,"","","","","No","4.7","$15,164","$10,364","$10,364 per month, originally $15,164","4 beds","REGULAR","entire_home",41.8918605,12.4693998,"en","","Wed, 11/15/23","31","","","3","Rome, Italy"
"Wonderful Apartment with Balcony in Piazza Margana","Apartment in Rome","933139654157111659","https://airbnb.com/rooms/933139654157111659","$10,323","per month","Roma","2","2","2","New",0,"","","","","No","","","","$10,323 per month","2 beds","REGULAR","entire_home",41.8942671328134,12.481377502407392,"en","","Wed, 11/15/23","31","","","3","Rome, Italy"
"The mirror house elegant apartment Piazza Navona","Apartment in Parione","826688354126404131","https://airbnb.com/rooms/826688354126404131","$15,201","per month","Roma","3","2","2",4.96,24,"","","","","No","","$16,704","$15,201","$15,201 per month, originally $16,704","3 beds","REGULAR","entire_home",41.89775269611801,12.472841283701035,"en","Guest favorite","Wed, 11/15/23","31","","","3","Rome, Italy"
"The great  beauty of Piazza Farnese","Condo in Parione","882510348797241127","https://airbnb.com/rooms/882510348797241127","$13,896","per month","Roma","3","2","2",5,22,"","","","","No","","$15,069","$13,896","$13,896 per month, originally $15,069","3 beds","REGULAR","entire_home",41.894103516983655,12.472112847585272,"en","Guest favorite","Wed, 11/15/23","31","","","3","Rome, Italy"
"BrandNew Navona - LooneyTunes","Apartment in Parione","860016183772761904","https://airbnb.com/rooms/860016183772761904","$11,177","per month","Roma","3","2","2",4.86,43,"","","","","No","4.7","","","$11,177 per month","3 beds","REGULAR","entire_home",41.898813246923154,12.471632287207713,"en","","Wed, 11/15/23","31","","","3","Rome, Italy"
"Rome Center, luxury & history in Via Monserrato","Apartment in Parione","1020094140037584413","https://airbnb.com/rooms/1020094140037584413","$9,653","per month","Roma","2","2","2","New",0,"","","","","No","","$12,066","$9,653","$9,653 per month, originally $12,066","","REGULAR","entire_home",41.89586,12.468,"en","","Wed, 11/15/23","31","","","3","Rome, Italy"
"Snow White in the Tiberina Island.","Condo in Trastevere","10980286","https://airbnb.com/rooms/10980286","$12,655","per month","Roma","1","2","2",4.84,305,"","","","","No","4.9","","","$12,655 per month","","REGULAR","entire_home",41.89201,12.47489,"en","Guest favorite","Wed, 11/15/23","31","","","3","Rome, Italy"
"In the heart of Trastevere","Apartment in Trastevere","14010875","https://airbnb.com/rooms/14010875","$14,360","per month","Roma","3","2","2",4.88,207,"","","","","No","4.9","$15,955","$14,360","$14,360 per month, originally $15,955","3 beds","REGULAR","entire_home",41.89068,12.47006,"en","","Wed, 11/15/23","31","","","3","Rome, Italy"
"iFlat | Synagogue at Your Feet","Condo in Regola","686845086088756635","https://airbnb.com/rooms/686845086088756635","$10,789","per month","Roma","3","2","2",4.67,30,"","","","","No","4.5","","","$10,789 per month","3 beds","REGULAR","entire_home",41.8923032,12.4779768,"en","","Wed, 11/15/23","31","","","3","Rome, Italy"
"Art Apartment in Trastevere","Vacation home in Trastevere","53824805","https://airbnb.com/rooms/53824805","$7,594","per month","Roma","2","2","2",4.8,20,"","","","","No","4.7","$8,934","$7,594","$7,594 per month, originally $8,934","","REGULAR","entire_home",41.8918531,12.4679008,"en","Superhost","Wed, 11/15/23","31","","","3","Rome, Italy"
"Romantic apartment in the heart of Trastevere","Condo in Trastevere","573940540477566659","https://airbnb.com/rooms/573940540477566659","$13,765","per month","Roma","3","2","2",4.72,75,"","","","","No","4.8","","","$13,765 per month","3 beds","REGULAR","entire_home",41.89043,12.46882,"en","","Wed, 11/15/23","31","","","3","Rome, Italy"
"Via dei Cartari luxury apartment","Apartment in Parione","43734600","https://airbnb.com/rooms/43734600","$12,756","per month","Roma","2","2","2",4.49,97,"","","","","No","4.6","","","$12,756 per month","","REGULAR","entire_home",41.89843,12.46928,"en","","Wed, 11/15/23","31","","","3","Rome, Italy"
"Elegant apartment","Apartment in Campo Marzio","1021753658222523008","https://airbnb.com/rooms/1021753658222523008","$14,027","per month","Roma","3","3","3","New",0,"","","","","No","","","","$14,027 per month","3 beds","REGULAR","entire_home",41.90192,12.47473,"en","","Wed, 11/15/23","31","","","3","Rome, Italy"
"Via dei Cestari loft","Apartment in Rome","44083598","https://airbnb.com/rooms/44083598","$10,569","per month","Roma","4","2","2",4.42,98,"","","","","No","4.5","","","$10,569 per month","4 beds","REGULAR","entire_home",41.89613,12.47618,"ro","","Wed, 11/15/23","31","","","3","Rome, Italy"
"Romanticasa Navona","Home in Prati","15440289","https://airbnb.com/rooms/15440289","$14,037","per month","Roma","3","3","3",4.24,205,"","","","","No","4.3","","","$14,037 per month","3 beds","REGULAR","entire_home",41.90192,12.4716,"es","","Wed, 11/15/23","31","","","3","Rome, Italy"
"Flower Home Campo de Fiori","Minsu in Parione","765246847395768961","https://airbnb.com/rooms/765246847395768961","$11,682","per month","Roma","3","2","2","New",0,"","","","","No","","$12,980","$11,682","$11,682 per month, originally $12,980","3 beds","REGULAR","entire_home",41.8956709,12.471591,"en","","Wed, 11/15/23","31","","","3","Rome, Italy"
